epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,12059.6,1.24534,0.5623,0.97087,0.9807,0.98914,0.9895,0.59825,1.3471,0.489,1.03054,0.0001684,0.0001684,0.0001684
86,12203.5,1.23913,0.55856,0.9674,0.98162,0.98841,0.98966,0.59971,1.34175,0.48764,1.02982,0.0001585,0.0001585,0.0001585
87,12352.8,1.23151,0.5544,0.96476,0.98123,0.9888,0.98956,0.60171,1.3386,0.48687,1.02864,0.0001486,0.0001486,0.0001486
88,12496.9,1.23957,0.55346,0.96964,0.98138,0.98776,0.98942,0.60245,1.33601,0.48659,1.02814,0.0001387,0.0001387,0.0001387
89,12646.7,1.22815,0.55009,0.9606,0.98205,0.98673,0.98903,0.60132,1.33576,0.48518,1.02728,0.0001288,0.0001288,0.0001288
90,12783.6,1.22296,0.55808,0.96311,0.98058,0.9888,0.98828,0.60343,1.33121,0.48523,1.02643,0.0001189,0.0001189,0.0001189
91,12917.9,1.20264,0.50826,0.99359,0.98055,0.98793,0.98808,0.59994,1.34078,0.49196,1.02899,0.000109,0.000109,0.000109
92,13053.4,1.1873,0.50401,0.98383,0.98072,0.98762,0.98789,0.60046,1.33681,0.49051,1.02899,9.91e-05,9.91e-05,9.91e-05
93,13187.9,1.17371,0.49487,0.9821,0.98204,0.98731,0.98849,0.60287,1.33285,0.4889,1.02683,8.92e-05,8.92e-05,8.92e-05
94,13321.2,1.15857,0.49019,0.97836,0.98221,0.98713,0.98806,0.60388,1.32727,0.48663,1.02481,7.93e-05,7.93e-05,7.93e-05
95,13456,1.1525,0.48618,0.97594,0.98105,0.98901,0.98802,0.60447,1.32802,0.48611,1.02568,6.94e-05,6.94e-05,6.94e-05
96,13589.4,1.14633,0.48851,0.97324,0.98252,0.98784,0.98799,0.60462,1.326,0.48569,1.02565,5.95e-05,5.95e-05,5.95e-05
97,13728.7,1.14173,0.48752,0.971,0.98156,0.98813,0.9878,0.60497,1.32164,0.48437,1.02424,4.96e-05,4.96e-05,4.96e-05
98,13862.7,1.14321,0.48757,0.96876,0.98102,0.9889,0.98778,0.60603,1.32014,0.48401,1.02448,3.97e-05,3.97e-05,3.97e-05
99,14000.3,1.13336,0.48463,0.97205,0.98115,0.9885,0.9877,0.60638,1.31922,0.48367,1.02442,2.98e-05,2.98e-05,2.98e-05
100,14136.5,1.13622,0.48583,0.97127,0.98139,0.98832,0.98806,0.60741,1.31729,0.48201,1.0239,1.99e-05,1.99e-05,1.99e-05
